Wind speed [m/s],"CD<math><mrow is=""true""><msub is=""true""><mi is=""true"">C</mi><mi is=""true"">D</mi></msub></mrow></math>","CL<math><mrow is=""true""><msub is=""true""><mi is=""true"">C</mi><mi is=""true"">L</mi></msub></mrow></math>","dCL<math><mrow is=""true""><mi is=""true"">d</mi><msub is=""true""><mi is=""true"">C</mi><mi is=""true"">L</mi></msub></mrow></math>","|AL|<math><mrow is=""true""><mo stretchy=""true"" is=""true"">|</mo><msub is=""true""><mi is=""true"">A</mi><mi is=""true"">L</mi></msub><mo stretchy=""true"" is=""true"">|</mo></mrow></math>","CM<math><mrow is=""true""><msub is=""true""><mi is=""true"">C</mi><mi is=""true"">M</mi></msub></mrow></math>","dCM<math><mrow is=""true""><mi is=""true"">d</mi><msub is=""true""><mi is=""true"">C</mi><mi is=""true"">M</mi></msub></mrow></math>","|AM|<math><mrow is=""true""><mo stretchy=""true"" is=""true"">|</mo><msub is=""true""><mi is=""true"">A</mi><mi is=""true"">M</mi></msub><mo stretchy=""true"" is=""true"">|</mo></mrow></math>"
"≈<math><mrow is=""true""><mo linebreak=""goodbreak"" linebreakstyle=""after"" is=""true"">≈</mo></mrow></math> 7",1.23,−0.23,2.51,0.5,−0.03,0.61,0.6
"≈<math><mrow is=""true""><mo linebreak=""goodbreak"" linebreakstyle=""after"" is=""true"">≈</mo></mrow></math> 9",1.22,−0.23,2.47,0.5,−0.03,0.6,0.6
